name,price,county,town,address,lng_wgs84,lat_wgs84
新建西路140弄,24712,奉贤,南桥,(奉贤南桥)新建西路140弄,121.4476902,30.91835661
欣荷苑,24720,浦东,宣桥,(浦东宣桥)宣镇东路628弄,121.6971613,31.02219899
普光路131弄,24725,青浦,香花桥,(青浦香花桥)普光路131弄,121.1289788,31.1884514
普光路121弄,24734,青浦,香花桥,"(青浦香花桥)普光路121弄, （普光路131弄）",121.1284481,31.18802998
城桥镇八一路10号,24750,崇明,崇明新城,(崇明崇明新城)城桥镇八一路10号,121.3907945,31.61899787
四合加苑,24761,奉贤,奉城,(奉贤奉城)四合加苑13-16号,121.6890134,30.93134753
育秀二区,24765,奉贤,南桥,(奉贤南桥)古华南区801号-1005号,121.4611837,30.91143775
绿地金山名邸（别墅）,24768,金山,张堰,"(金山张堰)龙航路1638弄, 学府路1581号",121.3126412,30.75096204
汇金星城,24793,浦东,大团镇,(浦东大团镇)永宁东路531弄,121.7430878,30.97013365
江海花园,24812,奉贤,南桥,(奉贤南桥)江海花园,121.4585197,30.90464425
东家,24816,宝山,杨行,(宝山杨行)友谊路1506号,121.4511557,31.3961343
牌楼西路196弄,24819,浦东,新场,(浦东新场)牌楼西路196弄,121.6386787,31.02630164
联运大厦,24906,奉贤,南桥,"(奉贤南桥)环城东路1402号, 南奉公路9253弄",121.4648806,30.91523332
河畔花园,24907,青浦,朱家角,(青浦朱家角)河畔路57弄,121.060301,31.11156777
浦江红星国际广场(商业类),24916,闵行,浦江,(闵行浦江)浦星公路1969号,121.5081914,31.07774552
金水苑,24919,奉贤,南桥,(奉贤南桥)金齐路188弄,121.4913465,30.95619997
化工小区(奉贤),24929,奉贤,南桥,(奉贤南桥)南桥路437弄,121.4486152,30.91909766
立新南路16号,24944,奉贤,南桥,(奉贤南桥)立新南路16号,121.4552199,30.91489932
